temperature,humidity,pressure,cloudcover
-1.3986429853910491,1.5046936667803845,-0.11302806145533732,1.0527472107954878
-1.2993988309150688,1.4296770044745923,-0.22605612291067465,-0.0795061698691918
-1.497711636445961,1.3552143062606223,-0.22605612291067465,-0.18718118180426416
-1.1004202492192094,0.9912675998934362,-0.22605612291067465,-0.2651103937802816
-0.8008404143543151,0.9201633962013831,-0.5651403072766866,0.6361069890367036
-1.0007017070055324,0.7796540166408222,-0.7911964301873613,-0.4401653064912043
-1.497711636445961,0.573164599425287,-0.4521122458213493,-0.5944277851615788
-1.5965943655726158,0.3718495576381758,-0.5651403072766866,-0.1142930003563507
-1.6952794148041654,0.1757614248533624,-0.7911964301873613,-0.5944277851615788
-1.6952794148041654,-0.015044742359108701,-0.7911964301873613,0.6160339608913968
-1.6952794148041654,-0.20051114019506308,-0.7911964301873613,-0.0795061698691918
-1.6952794148041654,-0.7242468818875084,-0.7911964301873613,1.3722842930432477
-1.497711636445961,-1.1474899582670108,-0.9042244916426986,1.3975013298062116
-1.6952794148041654,-0.9935371673241657,-0.5651403072766866,1.3595417187734407
-1.793753408696792,-0.9935371673241657,-0.4521122458213493,1.3975013298062116
-1.990004358499833,-0.7793614446913095,-0.4521122458213493,1.199003045191581
-1.990004358499833,-0.7242468818875084,-0.5651403072766866,0.5750451918337718
-2.0877425923969053,-0.6121525369211227,-0.5651403072766866,0.8923067491176552
-2.185190786314031,-0.6685096768435196,-1.0172525530980359,0.7695458185568984
-1.990004358499833,-1.045495919968087,-1.0172525530980359,0.3257220877157961
-1.6952794148041654,-1.1474899582670108,-1.4693647989193852,0.9584002004712097
-1.793753408696792,-0.8338506031467016,-1.1302806145533733,1.3207588509621628
-1.6952794148041654,-0.6121525369211227,-1.0172525530980359,1.3849369889514052
-1.793753408696792,-0.5551781166384631,-0.9042244916426986,1.3722842930432477
-1.6952794148041654,-0.6121525369211227,-0.9042244916426986,1.2405404675412839
-1.793753408696792,-0.43938779961359725,-0.7911964301873613,1.2541680191905846
-1.6952794148041654,-0.38057696353803055,-0.9042244916426986,1.2541680191905846
